시도,시군구,도로명,주소,유형,높이_cm,폭_cm,위도,경도,연속형여부,보차분리여부,밀집개수,경사도_도,충격점수,미터당감점
경상남도,김해시,호계로500번길,경상남도 김해시 동상동 1080-2,가상형,0.0,0.0,35.2352538,128.8867691,N,N,2,0.0,0.0,0.0
전남광주통합특별시,영광군,군불로,영광군 군남면 백양리 236-3,원호형,9.0,360.0,35.235257,126.458033,Y,Y,2,0.0,0.0,0.0562
경상남도,김해시,대동로450번길,경상남도 김해시 대동면 예안리 76,원호형,8.0,200.0,35.2352648,128.9674149,N,N,2,0.0,0.0,0.05
경상남도,김해시,분성로389번길,경상남도 김해시 동상동 680,가상형,0.0,0.0,35.2353123,128.8885059,N,N,2,11.35,0.0,0.0
전남광주통합특별시,장성군,중로3류,전남광주통합특별시 장성군 장성읍 단광리 651-5,원호형,10.0,360.0,35.2353161,126.78154174,Y,Y,2,0.0,0.0,0.0625
경상남도,김해시,호계로500번길,경상남도 김해시 동상동 1080-2,원호형,12.0,360.0,35.2353201,128.8871413,N,N,2,0.95,0.0,0.075
전남광주통합특별시,장성군,중로2류,전남광주통합특별시 장성군 남면 삼태리 895,원호형,10.0,360.0,35.235354,126.831362,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,곡성군,곡순로,전남광주통합특별시 곡성군 삼기면 원등리 1163-26,가상형,0.0,0.0,35.23537,127.21007,Y,Y,2,3.02,0.0,0.0
전남광주통합특별시,곡성군,산이재로,전남광주통합특별시 곡성군 겸면 운교리 465-9,원호형,10.0,360.0,35.23539,127.17366,N,N,2,4.26,0.0,0.0625
경상남도,김해시,호계로500번길,경상남도 김해시 동상동 1080-2,원호형,12.0,360.0,35.2354558,128.887831,N,N,2,8.58,0.0,0.075
경상남도,김해시,가야로405번길,경상남도 김해시 삼정동 21,원호형,6.0,200.0,35.2354586,128.8918319,N,N,2,9.65,0.0,0.0375
경상남도,김해시,가야로405번길,경상남도 김해시 삼정동 21,원호형,6.0,200.0,35.2354882,128.8923873,N,N,2,13.92,0.0,0.0375
경상남도,김해시,서부로1541번길,경상남도 김해시 주촌면 내삼리 650-2,원호형,7.0,200.0,35.2355007,128.8209507,N,N,2,0.0,0.0,0.0438
경상남도,김해시,대동로,경상남도 김해시 대동면 주동리 405-2,원호형,7.0,200.0,35.2355039,128.9491629,N,N,2,0.0,0.0,0.0438
경상남도,김해시,가야로405번길,경상남도 김해시 삼정동 21,원호형,7.0,200.0,35.2355235,128.8930114,N,N,2,16.7,0.0,0.0438
전남광주통합특별시,영광군,황량로,영광군 묘량면 월암리 668-5,원호형,10.0,360.0,35.235593,126.563493,N,N,2,0.95,0.0,0.0625
전남광주통합특별시,영광군,군불로1길,영광군 군남면 도장리 71-6,원호형,10.0,360.0,35.235647,126.478616,N,N,2,0.0,0.0,0.0625
경상남도,김해시,분성로3번길,경상남도 김해시 외동 783,기타,10.0,360.0,35.2356534,128.8510503,N,Y,2,10.05,0.0,0.0625
전남광주통합특별시,영광군,군불로,영광군 군남면 백양리 161-3,원호형,10.0,360.0,35.235661,126.456912,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,곡성군,오산로,전남광주통합특별시 곡성군 오산면 봉동리 923-1,가상형,0.0,0.0,35.23567,127.12296,N,N,2,0.0,0.0,0.0
경상남도,김해시,동남로41번길,경상남도 김해시 대동면 초정리 952-447,가상형,0.0,0.0,35.2356753,128.9931266,N,N,2,0.0,0.0,0.0
경상남도,김해시,진례로,경상남도 김해시 진례면 초전리 864-2,원호형,6.0,200.0,35.2356834,128.7541357,N,N,2,0.95,0.0,0.0375
경상남도,김해시,호계로500번길,경상남도 김해시 동상동 564-24,원호형,10.0,360.0,35.2357197,128.8867963,N,N,2,1.91,0.0,0.0625
경상남도,김해시,분성로,경상남도 김해시 지내동 447-11,가상형,0.0,0.0,35.2357303,128.9200695,N,N,2,0.0,0.0,0.0
전남광주통합특별시,장성군,소로2류,전남광주통합특별시 장성군 남면 삼태리 899,원호형,10.0,360.0,35.235733,126.831594,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,소로2류,전남광주통합특별시 장성군 남면 삼태리 903,원호형,10.0,360.0,35.235738,126.833361,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,소로2류,전남광주통합특별시 장성군 남면 삼태리 901,원호형,10.0,360.0,35.235739,126.832481,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,소로2류,전남광주통합특별시 장성군 남면 삼태리 900,원호형,10.0,360.0,35.235747,126.832051,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,곡성군,곡순로,전남광주통합특별시 곡성군 삼기면 원등리 871-4,가상형,0.0,0.0,35.23575,127.20907,Y,Y,2,3.93,0.0,0.0
전남광주통합특별시,장성군,소로1류,전남광주통합특별시 장성군 남면 삼태리 897,원호형,10.0,360.0,35.235761,126.833805,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,소로1류,전남광주통합특별시 장성군 남면 삼태리 902,원호형,10.0,360.0,35.235774,126.832952,Y,Y,2,0.0,0.0,0.0625
